species	display_name	scientific_name	assembly	ensembl_release	source_url	source_file	gtf_scope	seqname	source	feature	genomic_start	genomic_end	score	genomic_strand	phase	gene_id	gene_version	gene_name	gene_source	gene_biotype	hox_group	hox_number	source_seqname	window_start	window_end	window_padding_bp	display_orientation	xmin	xmax	y	strand	track	individual	label	gene	genomic_xmin	genomic_xmax
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87954491	87961095	.	+	.	ENSMMUG00000061724	1	HOXA6	ensembl	protein_coding	HOXA6	6	3	87804691	88111922	100000	forward_hoxa13_left	149801	156405	0.4	+	macaque	macaque	HOXA6	HOXA6	87954491	87961095
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87947759	87951764	.	+	.	ENSMMUG00000013458	4	HOXA7	ensembl	protein_coding	HOXA7	7	3	87804691	88111922	100000	forward_hoxa13_left	143069	147074	0.4	+	macaque	macaque	HOXA7	HOXA7	87947759	87951764
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87939547	87943387	.	+	.	ENSMMUG00000013459	4	HOXA9	ensembl	protein_coding	HOXA9	9	3	87804691	88111922	100000	forward_hoxa13_left	134857	138697	0.4	+	macaque	macaque	HOXA9	HOXA9	87939547	87943387
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87930645	87933053	.	+	.	ENSMMUG00000051571	1	HOXA10	ensembl	protein_coding	HOXA10	10	3	87804691	88111922	100000	forward_hoxa13_left	125955	128363	0.4	+	macaque	macaque	HOXA10	HOXA10	87930645	87933053
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87919781	87923845	.	+	.	ENSMMUG00000055708	1	HOXA11	ensembl	protein_coding	HOXA11	11	3	87804691	88111922	100000	forward_hoxa13_left	115091	119155	0.4	+	macaque	macaque	HOXA11	HOXA11	87919781	87923845
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87904691	87906788	.	+	.	ENSMMUG00000013463	4	HOXA13	ensembl	protein_coding	HOXA13	13	3	87804691	88111922	100000	forward_hoxa13_left	100001	102098	0.4	+	macaque	macaque	HOXA13	HOXA13	87904691	87906788
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52132570	52135297	.	-	.	ENSMUSG00000029844	10	Hoxa1	ensembl_havana	protein_coding	HOXA1	1	6	52032570	52337788	100000	reversed_to_hoxa13_left	202492	205219	0.4	+	mouse	mouse	HOXA1	HOXA1	52132570	52135297
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52139397	52141811	.	-	.	ENSMUSG00000014704	11	Hoxa2	ensembl_havana	protein_coding	HOXA2	2	6	52032570	52337788	100000	reversed_to_hoxa13_left	195978	198392	0.4	+	mouse	mouse	HOXA2	HOXA2	52139397	52141811
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52146042	52190316	.	-	.	ENSMUSG00000079560	14	Hoxa3	ensembl_havana	protein_coding	HOXA3	3	6	52032570	52337788	100000	reversed_to_hoxa13_left	147473	191747	0.4	+	mouse	mouse	HOXA3	HOXA3	52146042	52190316
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52166651	52168733	.	-	.	ENSMUSG00000000942	11	Hoxa4	ensembl_havana	protein_coding	HOXA4	4	6	52032570	52337788	100000	reversed_to_hoxa13_left	169056	171138	0.4	+	mouse	mouse	HOXA4	HOXA4	52166651	52168733
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52178734	52181567	.	-	.	ENSMUSG00000038253	7	Hoxa5	ensembl_havana	protein_coding	HOXA5	5	6	52032570	52337788	100000	reversed_to_hoxa13_left	156222	159055	0.4	+	mouse	mouse	HOXA5	HOXA5	52178734	52181567
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52183268	52185702	.	-	.	ENSMUSG00000043219	10	Hoxa6	ensembl_havana	protein_coding	HOXA6	6	6	52032570	52337788	100000	reversed_to_hoxa13_left	152087	154521	0.4	+	mouse	mouse	HOXA6	HOXA6	52183268	52185702
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52191471	52198834	.	-	.	ENSMUSG00000038236	9	Hoxa7	ensembl_havana	protein_coding	HOXA7	7	6	52032570	52337788	100000	reversed_to_hoxa13_left	138955	146318	0.4	+	mouse	mouse	HOXA7	HOXA7	52191471	52198834
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52200080	52208069	.	-	.	ENSMUSG00000038227	16	Hoxa9	ensembl_havana	protein_coding	HOXA9	9	6	52032570	52337788	100000	reversed_to_hoxa13_left	129720	137709	0.4	+	mouse	mouse	HOXA9	HOXA9	52200080	52208069
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52208177	52217834	.	-	.	ENSMUSG00000000938	12	Hoxa10	ensembl_havana	protein_coding	HOXA10	10	6	52032570	52337788	100000	reversed_to_hoxa13_left	119955	129612	0.4	+	mouse	mouse	HOXA10	HOXA10	52208177	52217834
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52219086	52222790	.	-	.	ENSMUSG00000038210	11	Hoxa11	ensembl_havana	protein_coding	HOXA11	11	6	52032570	52337788	100000	reversed_to_hoxa13_left	114999	118703	0.4	+	mouse	mouse	HOXA11	HOXA11	52219086	52222790
mouse	Mouse	Mus musculus	GRCm39	115	https://ftp.ensembl.org/pub/release-115/gtf/mus_musculus/Mus_musculus.GRCm39.115.chr.gtf.gz	Mus_musculus.GRCm39.115.chr.gtf.gz	chr	6	ensembl_havana	gene	52234674	52237788	.	-	.	ENSMUSG00000038203	23	Hoxa13	ensembl_havana	protein_coding	HOXA13	13	6	52032570	52337788	100000	reversed_to_hoxa13_left	100001	103115	0.4	+	mouse	mouse	HOXA13	HOXA13	52234674	52237788
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32479296	32481746	.	-	.	ENSGALG00010001788	1	HOXA1	ensembl	protein_coding	HOXA1	1	2	32379296	32685463	100000	reversed_to_hoxa13_left	203718	206168	0.4	+	chicken	chicken	HOXA1	HOXA1	32479296	32481746
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32485579	32487851	.	-	.	ENSGALG00010001790	1	HOXA2	ensembl	protein_coding	HOXA2	2	2	32379296	32685463	100000	reversed_to_hoxa13_left	197613	199885	0.4	+	chicken	chicken	HOXA2	HOXA2	32485579	32487851
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32491888	32510667	.	-	.	ENSGALG00010001801	1	HOXA3	ensembl	protein_coding	HOXA3	3	2	32379296	32685463	100000	reversed_to_hoxa13_left	174797	193576	0.4	+	chicken	chicken	HOXA3	HOXA3	32491888	32510667
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32512064	32514374	.	-	.	ENSGALG00010001808	1	HOXA4	ensembl	protein_coding	HOXA4	4	2	32379296	32685463	100000	reversed_to_hoxa13_left	171090	173400	0.4	+	chicken	chicken	HOXA4	HOXA4	32512064	32514374
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32525265	32528034	.	-	.	ENSGALG00010001813	1	HOXA5	ensembl	protein_coding	HOXA5	5	2	32379296	32685463	100000	reversed_to_hoxa13_left	157430	160199	0.4	+	chicken	chicken	HOXA5	HOXA5	32525265	32528034
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32528935	32532085	.	-	.	ENSGALG00010001819	1	HOXA6	ensembl	protein_coding	HOXA6	6	2	32379296	32685463	100000	reversed_to_hoxa13_left	153379	156529	0.4	+	chicken	chicken	HOXA6	HOXA6	32528935	32532085
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32537106	32542394	.	-	.	ENSGALG00010001826	1	HOXA7	ensembl	protein_coding	HOXA7	7	2	32379296	32685463	100000	reversed_to_hoxa13_left	143070	148358	0.4	+	chicken	chicken	HOXA7	HOXA7	32537106	32542394
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32546009	32563954	.	-	.	ENSGALG00010001840	1	HOXA9	ensembl	protein_coding	HOXA9	9	2	32379296	32685463	100000	reversed_to_hoxa13_left	121510	139455	0.4	+	chicken	chicken	HOXA9	HOXA9	32546009	32563954
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32554165	32559746	.	-	.	ENSGALG00010001844	1	HOXA10	ensembl	protein_coding	HOXA10	10	2	32379296	32685463	100000	reversed_to_hoxa13_left	125718	131299	0.4	+	chicken	chicken	HOXA10	HOXA10	32554165	32559746
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32565244	32569341	.	-	.	ENSGALG00010001848	1	HOXA11	ensembl	protein_coding	HOXA11	11	2	32379296	32685463	100000	reversed_to_hoxa13_left	116123	120220	0.4	+	chicken	chicken	HOXA11	HOXA11	32565244	32569341
chicken	Chicken	Gallus gallus	bGalGal1.mat.broiler.GRCg7b	115	https://ftp.ensembl.org/pub/release-115/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz	chr	2	ensembl	gene	32582495	32585463	.	-	.	ENSGALG00010001321	1	HOXA13	ensembl	protein_coding	HOXA13	13	2	32379296	32685463	100000	reversed_to_hoxa13_left	100001	102969	0.4	+	chicken	chicken	HOXA13	HOXA13	32582495	32585463
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1540577	1545019	.	+	.	ENSACAG00000010967	4	HOXA1	ensembl	protein_coding	HOXA1	1	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	237155	241597	0.4	+	anole	anole	HOXA1	HOXA1	1540577	1545019
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1530171	1532456	.	+	.	ENSACAG00000010430	2	HOXA2	ensembl	protein_coding	HOXA2	2	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	226749	229034	0.4	+	anole	anole	HOXA2	HOXA2	1530171	1532456
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1502019	1524806	.	+	.	ENSACAG00000041421	1	HOXA3	ensembl	protein_coding	HOXA3	3	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	198597	221384	0.4	+	anole	anole	HOXA3	HOXA3	1502019	1524806
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1489989	1492053	.	+	.	ENSACAG00000010390	3	HOXA4	ensembl	protein_coding	HOXA4	4	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	186567	188631	0.4	+	anole	anole	HOXA4	HOXA4	1489989	1492053
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1471904	1474292	.	+	.	ENSACAG00000010364	4	HOXA5	ensembl	protein_coding	HOXA5	5	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	168482	170870	0.4	+	anole	anole	HOXA5	HOXA5	1471904	1474292
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1466716	1469716	.	+	.	ENSACAG00000010349	3	HOXA6	ensembl	protein_coding	HOXA6	6	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	163294	166294	0.4	+	anole	anole	HOXA6	HOXA6	1466716	1469716
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1454627	1457870	.	+	.	ENSACAG00000010322	3	HOXA7	ensembl	protein_coding	HOXA7	7	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	151205	154448	0.4	+	anole	anole	HOXA7	HOXA7	1454627	1457870
anole	Green anole	Anolis carolinensis	AnoCar2.0v2	115	https://ftp.ensembl.org/pub/release-115/gtf/anolis_carolinensis/Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	Anolis_carolinensis.AnoCar2.0v2.115.gtf.gz	full	GL343275.1	ensembl	gene	1437227	1440763	.	+	.	ENSACAG00000007286	4	hoxa9	ensembl	protein_coding	HOXA9	9	GL343275.1	1303423	1645019	100000	forward_hoxa13_left	133805	137341	0.4	+	anole	anole	HOXA9	HOXA9	1437227	1440763
