species	gene_id	gene_symbol	transcript_id	transcript_name	transcript_biotype	is_canonical	exon_rank	exon_id	seqname	start	end	strand	selection_order	selection_reason	gene_start	gene_end	ucsc_chrom	xmin	xmax	y	ymin	chr	track	individual	gene	transcript	transcripts	feature	type	isoforms_with_exon	selected_isoform_count	present_in_all_selected_isoforms	exon_role
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35180274	35180407	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35186832	35186900	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35189835	35190065	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	6	ENSE00003526469	11	35214852	35214914	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35214852	35214914	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	7	ENSE00003632343	11	35219316	35219387	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35219316	35219387	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	8	ENSE00003534676	11	35221654	35221732	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35221654	35221732	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	9	ENSE00004802752	11	35229129	35232402	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35229129	35232402	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35138721	35139370	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35176575	35176740	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35180274	35180407	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35186832	35186900	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35189835	35190065	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	6	ENSE00003608645	11	35211246	35211449	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35211246	35211449	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	7	ENSE00003526469	11	35214852	35214914	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35214852	35214914	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	8	ENSE00003632343	11	35219316	35219387	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35219316	35219387	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	9	ENSE00003534676	11	35221654	35221732	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35221654	35221732	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	10	ENSE00004802752	11	35229129	35232402	+	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)	35138721	35232402	chr11	35229129	35232402	3	1.64	chr11	human	human	CD44	CD44-210	CD44-210	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35138721	35139370	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35176575	35176740	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35180274	35180407	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35186832	35186900	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35189835	35190065	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	6	ENSE00000710505	11	35196746	35196874	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35196746	35196874	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	7	ENSE00003678600	11	35198121	35198246	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35198121	35198246	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	8	ENSE00003692209	11	35201082	35201195	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35201082	35201195	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	9	ENSE00004366172	11	35201668	35201787	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35201668	35201787	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	1	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	10	ENSE00003469853	11	35204512	35204640	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35204512	35204640	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	11	ENSE00000710490	11	35206112	35206243	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35206112	35206243	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	12	ENSE00003790928	11	35208105	35208206	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35208105	35208206	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	13	ENSE00000710485	11	35209965	35210054	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35209965	35210054	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	14	ENSE00003608645	11	35211246	35211449	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35211246	35211449	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	15	ENSE00003526469	11	35214852	35214914	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35214852	35214914	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	16	ENSE00003632343	11	35219316	35219387	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35219316	35219387	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	17	ENSE00003534676	11	35221654	35221732	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35221654	35221732	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000904013	CD44-242	protein_coding	0	18	ENSE00004802752	11	35229129	35232402	+	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)	35138721	35232402	chr11	35229129	35232402	4	2.3600000000000003	chr11	human	human	CD44	CD44-242	CD44-242	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	1	ENSMUSE00002199113	2	102731613	102732010	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102731613	102732010	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	2	ENSMUSE00001268849	2	102695626	102695791	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102695626	102695791	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	3	ENSMUSE00001292286	2	102691905	102692041	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102691905	102692041	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	4	ENSMUSE00001251397	2	102686244	102686312	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102686244	102686312	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	5	ENSMUSE00000429126	2	102683360	102683581	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102683360	102683581	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	6	ENSMUSE00000166708	2	102679002	102679127	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102679002	102679127	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	1	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	7	ENSMUSE00000166710	2	102676748	102676864	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102676748	102676864	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	1	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	8	ENSMUSE00000166719	2	102675630	102675755	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102675630	102675755	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	1	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	9	ENSMUSE00000166716	2	102673181	102673294	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102673181	102673294	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	10	ENSMUSE00000166711	2	102672606	102672722	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102672606	102672722	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	11	ENSMUSE00000429059	2	102669703	102669822	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102669703	102669822	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	12	ENSMUSE00000429052	2	102668158	102668283	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102668158	102668283	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	13	ENSMUSE00000429046	2	102664579	102664680	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102664579	102664680	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	14	ENSMUSE00000429038	2	102662828	102662917	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102662828	102662917	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	3	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	15	ENSMUSE00000429028	2	102661675	102661881	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102661675	102661881	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	3	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	16	ENSMUSE00000429020	2	102658887	102658955	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102658887	102658955	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	17	ENSMUSE00000429014	2	102654606	102654677	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102654606	102654677	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	18	ENSMUSE00000428727	2	102652553	102652631	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102652553	102652631	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000005218	Cd44-201	protein_coding	1	19	ENSMUSE00000494459	2	102641486	102644682	-	1	RefSeq-backed Ensembl canonical transcript (NM_009851)	102641486	102732010	chr2	102641486	102644682	1	0.2	chr2	mouse	mouse	Cd44	Cd44-201	Cd44-201	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000099673	Cd44-203	protein_coding	0	1	ENSMUSE00002199113	2	102731613	102732010	-	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)	102641486	102732010	chr2	102731613	102732010	2	0.9199999999999999	chr2	mouse	mouse	Cd44	Cd44-203	Cd44-203	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000099673	Cd44-203	protein_coding	0	2	ENSMUSE00001268849	2	102695626	102695791	-	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)	102641486	102732010	chr2	102695626	102695791	2	0.9199999999999999	chr2	mouse	mouse	Cd44	Cd44-203	Cd44-203	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000099673	Cd44-203	protein_coding	0	3	ENSMUSE00001292286	2	102691905	102692041	-	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)	102641486	102732010	chr2	102691905	102692041	2	0.9199999999999999	chr2	mouse	mouse	Cd44	Cd44-203	Cd44-203	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000099673	Cd44-203	protein_coding	0	4	ENSMUSE00001251397	2	102686244	102686312	-	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)	102641486	102732010	chr2	102686244	102686312	2	0.9199999999999999	chr2	mouse	mouse	Cd44	Cd44-203	Cd44-203	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000099673	Cd44-203	protein_coding	0	5	ENSMUSE00000429126	2	102683360	102683581	-	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)	102641486	102732010	chr2	102683360	102683581	2	0.9199999999999999	chr2	mouse	mouse	Cd44	Cd44-203	Cd44-203	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000099673	Cd44-203	protein_coding	0	6	ENSMUSE00000429020	2	102658887	102658955	-	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)	102641486	102732010	chr2	102658887	102658955	2	0.9199999999999999	chr2	mouse	mouse	Cd44	Cd44-203	Cd44-203	exon	exon	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUST00000099673	Cd44-203	protein_coding	0	7	ENSMUSE00000429014	2	102654606	102654677	-	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)	102641486	102732010	chr2	102654606	102654677	2	0.9199999999999999	chr2	mouse	mouse	Cd44	Cd44-203	Cd44-203	exon	exon	4	4	TRUE	common
