human_exon_id	human_exon_index	human_start	human_end	mouse_exon_id	mouse_exon_index	mouse_start	mouse_end	link_count	max_human_overlap_bp	max_mouse_overlap_bp	max_min_overlap_bp	max_link_identity	strands	human_pair_rank	mouse_pair_rank	reciprocal_best	human_exon_role	human_common	mouse_exon_role	mouse_common
ENSE00000710505	7	35196746	35196874	ENSMUSE00001251397	16	102686244	102686312	1	129	69	69	53.681	-	9	2	FALSE	variable	FALSE	common	TRUE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000429052	8	102668158	102668283	1	126	126	126	53.681	-	3	5	FALSE	variable	FALSE	variable	FALSE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000429059	9	102669703	102669822	1	126	120	120	53.681	-	5	5	FALSE	variable	FALSE	variable	FALSE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000166711	10	102672606	102672722	1	126	117	117	53.681	-	7	6	FALSE	variable	FALSE	variable	FALSE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000166716	11	102673181	102673294	1	126	114	114	53.681	-	8	6	FALSE	variable	FALSE	variable	FALSE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000166719	12	102675630	102675755	1	126	126	126	53.681	-	2	5	FALSE	variable	FALSE	variable	FALSE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000166710	13	102676748	102676864	1	126	117	117	53.681	-	6	6	FALSE	variable	FALSE	variable	FALSE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000166708	14	102679002	102679127	1	126	126	126	53.681	-	1	5	FALSE	variable	FALSE	variable	FALSE
ENSE00003678600	8	35198121	35198246	ENSMUSE00000429126	15	102683360	102683581	1	126	222	126	53.681	-	4	5	FALSE	variable	FALSE	common	TRUE
ENSE00003678600	8	35198121	35198246	ENSMUSE00001251397	16	102686244	102686312	1	126	69	69	53.681	-	9	7	FALSE	variable	FALSE	common	TRUE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000429052	8	102668158	102668283	1	114	126	114	53.681	-	6	8	FALSE	variable	FALSE	variable	FALSE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000429059	9	102669703	102669822	1	114	120	114	53.681	-	7	8	FALSE	variable	FALSE	variable	FALSE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000166711	10	102672606	102672722	1	114	117	114	53.681	-	3	8	FALSE	variable	FALSE	variable	FALSE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000166716	11	102673181	102673294	1	114	114	114	53.681	-	4	7	FALSE	variable	FALSE	variable	FALSE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000166719	12	102675630	102675755	1	114	126	114	53.681	-	5	8	FALSE	variable	FALSE	variable	FALSE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000166710	13	102676748	102676864	1	114	117	114	53.681	-	2	8	FALSE	variable	FALSE	variable	FALSE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000166708	14	102679002	102679127	1	114	126	114	53.681	-	1	8	FALSE	variable	FALSE	variable	FALSE
ENSE00003692209	9	35201082	35201195	ENSMUSE00000429126	15	102683360	102683581	1	114	222	114	53.681	-	8	8	FALSE	variable	FALSE	common	TRUE
ENSE00003692209	9	35201082	35201195	ENSMUSE00001251397	16	102686244	102686312	1	114	69	69	53.681	-	9	8	FALSE	variable	FALSE	common	TRUE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000429052	8	102668158	102668283	1	120	126	120	53.681	-	3	6	FALSE	variable	FALSE	variable	FALSE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000429059	9	102669703	102669822	1	120	120	120	53.681	-	4	6	FALSE	variable	FALSE	variable	FALSE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000166711	10	102672606	102672722	1	120	117	117	53.681	-	7	7	FALSE	variable	FALSE	variable	FALSE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000166716	11	102673181	102673294	1	120	114	114	53.681	-	8	8	FALSE	variable	FALSE	variable	FALSE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000166719	12	102675630	102675755	1	120	126	120	53.681	-	2	6	FALSE	variable	FALSE	variable	FALSE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000166710	13	102676748	102676864	1	120	117	117	53.681	-	6	7	FALSE	variable	FALSE	variable	FALSE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000166708	14	102679002	102679127	1	120	126	120	53.681	-	1	6	FALSE	variable	FALSE	variable	FALSE
ENSE00004366172	10	35201668	35201787	ENSMUSE00000429126	15	102683360	102683581	1	120	222	120	53.681	-	5	6	FALSE	variable	FALSE	common	TRUE
ENSE00004366172	10	35201668	35201787	ENSMUSE00001251397	16	102686244	102686312	1	120	69	69	53.681	-	9	9	FALSE	variable	FALSE	common	TRUE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000429052	8	102668158	102668283	1	117	126	117	53.681	-	5	7	FALSE	variable	FALSE	variable	FALSE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000429059	9	102669703	102669822	1	117	120	117	53.681	-	6	7	FALSE	variable	FALSE	variable	FALSE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000166711	10	102672606	102672722	1	117	117	117	53.681	-	3	3	FALSE	variable	FALSE	variable	FALSE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000166716	11	102673181	102673294	1	117	114	114	53.681	-	8	3	FALSE	variable	FALSE	variable	FALSE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000166719	12	102675630	102675755	1	117	126	117	53.681	-	4	7	FALSE	variable	FALSE	variable	FALSE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000166710	13	102676748	102676864	1	117	117	117	53.681	-	2	3	FALSE	variable	FALSE	variable	FALSE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000166708	14	102679002	102679127	1	117	126	117	53.681	-	1	7	FALSE	variable	FALSE	variable	FALSE
ENSE00000824450	11	35201671	35201787	ENSMUSE00000429126	15	102683360	102683581	1	117	222	117	53.681	-	7	7	FALSE	variable	FALSE	common	TRUE
ENSE00000824450	11	35201671	35201787	ENSMUSE00001251397	16	102686244	102686312	1	117	69	69	53.681	-	9	3	FALSE	variable	FALSE	common	TRUE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000429052	8	102668158	102668283	1	129	126	126	53.681	-	4	3	FALSE	variable	FALSE	variable	FALSE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000429059	9	102669703	102669822	1	129	120	120	53.681	-	5	3	FALSE	variable	FALSE	variable	FALSE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000166711	10	102672606	102672722	1	129	117	117	53.681	-	7	4	FALSE	variable	FALSE	variable	FALSE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000166716	11	102673181	102673294	1	129	114	114	53.681	-	8	4	FALSE	variable	FALSE	variable	FALSE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000166719	12	102675630	102675755	1	129	126	126	53.681	-	3	3	FALSE	variable	FALSE	variable	FALSE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000166710	13	102676748	102676864	1	129	117	117	53.681	-	6	4	FALSE	variable	FALSE	variable	FALSE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000166708	14	102679002	102679127	1	129	126	126	53.681	-	2	3	FALSE	variable	FALSE	variable	FALSE
ENSE00003469853	12	35204512	35204640	ENSMUSE00000429126	15	102683360	102683581	1	129	222	129	53.681	-	1	4	FALSE	variable	FALSE	common	TRUE
ENSE00003469853	12	35204512	35204640	ENSMUSE00001251397	16	102686244	102686312	1	129	69	69	53.681	-	9	4	FALSE	variable	FALSE	common	TRUE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000429052	8	102668158	102668283	1	132	126	126	53.681	-	4	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000429059	9	102669703	102669822	1	132	120	120	53.681	-	5	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000166711	10	102672606	102672722	1	132	117	117	53.681	-	7	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000166716	11	102673181	102673294	1	132	114	114	53.681	-	8	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000166719	12	102675630	102675755	1	132	126	126	53.681	-	3	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000166710	13	102676748	102676864	1	132	117	117	53.681	-	6	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000166708	14	102679002	102679127	1	132	126	126	53.681	-	2	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710490	13	35206112	35206243	ENSMUSE00000429126	15	102683360	102683581	1	132	222	132	53.681	-	1	2	FALSE	variable	FALSE	common	TRUE
ENSE00000710490	13	35206112	35206243	ENSMUSE00001251397	16	102686244	102686312	1	132	69	69	53.681	-	9	1	FALSE	variable	FALSE	common	TRUE
ENSE00003790928	14	35208105	35208206	ENSMUSE00000429028	5	102661675	102661881	1	102	207	102	59.102	-	1	2	FALSE	variable	FALSE	variable	FALSE
ENSE00003790928	14	35208105	35208206	ENSMUSE00000429038	6	102662828	102662917	1	102	90	90	59.102	-	3	3	FALSE	variable	FALSE	variable	FALSE
ENSE00003790928	14	35208105	35208206	ENSMUSE00000429046	7	102664579	102664680	1	102	102	102	59.102	-	2	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710485	15	35209965	35210054	ENSMUSE00000429028	5	102661675	102661881	1	90	207	90	59.102	-	1	3	FALSE	variable	FALSE	variable	FALSE
ENSE00000710485	15	35209965	35210054	ENSMUSE00000429038	6	102662828	102662917	1	90	90	90	59.102	-	2	1	FALSE	variable	FALSE	variable	FALSE
ENSE00000710485	15	35209965	35210054	ENSMUSE00000429046	7	102664579	102664680	1	90	102	90	59.102	-	3	3	FALSE	variable	FALSE	variable	FALSE
ENSE00003608645	16	35211246	35211449	ENSMUSE00000429028	5	102661675	102661881	1	204	207	204	59.102	-	1	1	TRUE	variable	FALSE	variable	FALSE
ENSE00003608645	16	35211246	35211449	ENSMUSE00000429038	6	102662828	102662917	1	204	90	90	59.102	-	3	2	FALSE	variable	FALSE	variable	FALSE
ENSE00003608645	16	35211246	35211449	ENSMUSE00000429046	7	102664579	102664680	1	204	102	102	59.102	-	2	1	FALSE	variable	FALSE	variable	FALSE
ENSE00003526469	17	35214852	35214914	ENSMUSE00000428727	2	102652553	102652631	1	63	79	63	53.88	-	1	3	FALSE	common	TRUE	common	TRUE
ENSE00003526469	17	35214852	35214914	ENSMUSE00000429014	3	102654606	102654677	1	63	72	63	53.88	-	2	3	FALSE	common	TRUE	common	TRUE
ENSE00003526469	17	35214852	35214914	ENSMUSE00000429020	4	102658887	102658955	1	63	69	63	53.88	-	3	3	FALSE	common	TRUE	common	TRUE
ENSE00003632343	18	35219316	35219387	ENSMUSE00000428727	2	102652553	102652631	1	72	79	72	53.88	-	1	2	FALSE	common	TRUE	common	TRUE
ENSE00003632343	18	35219316	35219387	ENSMUSE00000429014	3	102654606	102654677	1	72	72	72	53.88	-	2	2	FALSE	common	TRUE	common	TRUE
ENSE00003632343	18	35219316	35219387	ENSMUSE00000429020	4	102658887	102658955	1	72	69	69	53.88	-	3	2	FALSE	common	TRUE	common	TRUE
ENSE00003534676	19	35221654	35221732	ENSMUSE00000428727	2	102652553	102652631	1	79	79	79	53.88	-	1	1	TRUE	common	TRUE	common	TRUE
ENSE00003534676	19	35221654	35221732	ENSMUSE00000429014	3	102654606	102654677	1	79	72	72	53.88	-	2	1	FALSE	common	TRUE	common	TRUE
ENSE00003534676	19	35221654	35221732	ENSMUSE00000429020	4	102658887	102658955	1	79	69	69	53.88	-	3	1	FALSE	common	TRUE	common	TRUE
ENSE00004802752	20	35229129	35232402	ENSMUSE00000494459	1	102641486	102644682	1	3274	3050	3050	59.77	-	1	1	TRUE	common	TRUE	common	TRUE
