species	display_name	scientific_name	assembly	ensembl_species	gene_id	gene_symbol	seqname	transcript_id	transcript_name	biotype	is_canonical	transcript_start	transcript_end	strand	exon_count	exon_signature
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000434472	CD44-210	protein_coding	0	35138721	35232402	1	10	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000352818	CD44-205	protein_coding	0	35139304	35229333	1	8	ENSE00002177526|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003632343|ENSE00003534676|ENSE00003604394
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000442151	CD44-211	protein_coding	0	35139306	35223320	1	9	ENSE00002198941|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00001598274
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000526000	CD44-221	protein_coding	0	35176575	35214861	1	6	ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00001647548|ENSE00003608645|ENSE00002178504
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000279452	CD44-204	protein_coding	0	35176628	35229322	1	8	ENSE00002153584|ENSE00003658180|ENSE00003504402|ENSE00001647548|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00002168101
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000527889	CD44-226	protein_coding	0	35176641	35209969	1	6	ENSE00002141013|ENSE00003658180|ENSE00003504402|ENSE00001647548|ENSE00003790928|ENSE00003828676
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000531118	CD44-232	retained_intron	0	35176662	35190429	1	4	ENSE00002191813|ENSE00003533978|ENSE00003506110|ENSE00002190362
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000528455	CD44-228	protein_coding	0	35176699	35201767	1	6	ENSE00002197227|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003692209|ENSE00002164519
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000531873	CD44-234	protein_coding	0	35180279	35211310	1	5	ENSE00002142692|ENSE00003504402|ENSE00003639932|ENSE00000710485|ENSE00002199174
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525209	CD44-213	protein_coding_CDS_not_defined	0	35180358	35200636	1	5	ENSE00002166630|ENSE00003506110|ENSE00003477603|ENSE00003637485|ENSE00002169416
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000531110	CD44-231	protein_coding	0	35186843	35211309	1	7	ENSE00002195645|ENSE00003639932|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003823878
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525685	CD44-219	protein_coding	0	35186862	35211257	1	7	ENSE00002153314|ENSE00003639932|ENSE00000710505|ENSE00003678600|ENSE00003790928|ENSE00000710485|ENSE00003817903
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000534296	CD44-238	retained_intron	0	35189835	35204909	1	4	ENSE00003477603|ENSE00003687007|ENSE00003619384|ENSE00002166363
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525688	CD44-220	protein_coding	0	35189882	35229164	1	6	ENSE00002184001|ENSE00003678600|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00002177195
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000278385	CD44-202	protein_coding	0	35189891	35229244	1	7	ENSE00002152444|ENSE00003790928|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00002195580
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000533222	CD44-236	protein_coding	0	35189900	35211342	1	5	ENSE00002194976|ENSE00003678600|ENSE00003790928|ENSE00000710485|ENSE00002195540
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525241	CD44-215	retained_intron	0	35189926	35204811	1	2	ENSE00002156359|ENSE00002171286
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000524922	CD44-212	protein_coding	0	35190010	35201753	1	4	ENSE00002164148|ENSE00002151908|ENSE00003692209|ENSE00002159834
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000528922	CD44-230	protein_coding_CDS_not_defined	0	35197162	35198555	1	2	ENSE00002155909|ENSE00002153468
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525348	CD44-217	retained_intron	0	35197857	35201731	1	3	ENSE00002147765|ENSE00003687007|ENSE00002145160
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000526553	CD44-223	protein_coding	0	35201083	35211253	1	6	ENSE00002149457|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003828127
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000534082	CD44-237	retained_intron	0	35201144	35206047	1	4	ENSE00002157331|ENSE00003619384|ENSE00003593405|ENSE00002178770
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525293	CD44-216	retained_intron	0	35201621	35221716	1	5	ENSE00002193053|ENSE00003551494|ENSE00003473311|ENSE00003515975|ENSE00002176940
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000528672	CD44-229	protein_coding	0	35201679	35211401	1	5	ENSE00002162882|ENSE00003469853|ENSE00003790928|ENSE00000710485|ENSE00002153043
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000532339	CD44-235	retained_intron	0	35205715	35208164	1	2	ENSE00002198931|ENSE00002192111
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000527326	CD44-225	retained_intron	0	35214666	35229446	1	4	ENSE00002150596|ENSE00003515975|ENSE00003466081|ENSE00002186415
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000531141	CD44-233	retained_intron	0	35218929	35221731	1	2	ENSE00002150934|ENSE00002199247
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525469	CD44-218	protein_coding	0	35219344	35229789	1	2	ENSE00002190979|ENSE00002167362
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904010	CD44-239	protein_coding	0	35138721	35232402	1	9	ENSE00004802753|ENSE00004366179|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904011	CD44-240	protein_coding	0	35138721	35232402	1	9	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00004366182|ENSE00003639932|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904012	CD44-241	protein_coding	0	35138721	35232402	1	14	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904013	CD44-242	protein_coding	0	35138721	35232402	1	18	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710505|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904014	CD44-243	protein_coding	0	35138721	35232402	1	13	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904015	CD44-244	protein_coding	0	35138721	35232402	1	14	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00001647548|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904016	CD44-245	protein_coding	0	35138721	35232402	1	11	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003790928|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904017	CD44-246	protein_coding	0	35138721	35232402	1	13	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904018	CD44-247	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904019	CD44-248	protein_coding	0	35138721	35232402	1	8	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003639932|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904020	CD44-249	protein_coding	0	35138721	35232402	1	10	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904021	CD44-250	protein_coding	0	35138721	35232402	1	5	ENSE00004802753|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904022	CD44-251	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904023	CD44-252	protein_coding	0	35138721	35232402	1	16	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000935511	CD44-253	protein_coding	0	35138721	35232402	1	12	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003790928|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969332	CD44-254	protein_coding	0	35138721	35232402	1	8	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003526469|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969333	CD44-255	protein_coding	0	35138721	35232402	1	14	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00004466520|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969334	CD44-256	protein_coding	0	35138721	35232402	1	16	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969335	CD44-257	protein_coding	0	35138721	35232402	1	13	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969336	CD44-258	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969337	CD44-259	protein_coding	0	35138721	35232402	1	15	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969338	CD44-260	protein_coding	0	35138721	35232402	1	13	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969339	CD44-261	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00004466519|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969340	CD44-262	protein_coding	0	35138721	35232402	1	13	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00004466519|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969341	CD44-263	protein_coding	0	35138721	35232402	1	16	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969342	CD44-264	protein_coding	0	35138721	35232402	1	12	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003790928|ENSE00000710485|ENSE00004466520|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969343	CD44-265	protein_coding	0	35138721	35232402	1	11	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969344	CD44-266	protein_coding	0	35138721	35232402	1	10	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003790928|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969345	CD44-267	protein_coding	0	35138721	35232402	1	16	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969346	CD44-268	protein_coding	0	35138721	35232402	1	18	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710505|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969347	CD44-269	protein_coding	0	35138721	35232402	1	14	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969348	CD44-270	protein_coding	0	35138721	35232402	1	15	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969349	CD44-271	protein_coding	0	35138721	35232402	1	11	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00000710490|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969350	CD44-272	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00004466520|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969351	CD44-273	protein_coding	0	35138721	35232402	1	16	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969352	CD44-274	protein_coding	0	35138721	35232402	1	11	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003469853|ENSE00002160255|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969353	CD44-275	protein_coding	0	35138721	35232402	1	18	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710505|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969354	CD44-276	protein_coding	0	35138721	35232402	1	10	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00004466519|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969355	CD44-277	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00001647548|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969356	CD44-278	protein_coding	0	35138721	35232402	1	10	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969357	CD44-279	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00004466520|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969358	CD44-280	protein_coding	0	35138721	35232402	1	16	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00002160255|ENSE00003790928|ENSE00000710485|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969359	CD44-281	protein_coding	0	35138721	35232402	1	8	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000969360	CD44-282	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00004466519|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
