species	gene_id	gene_symbol	transcript_id	transcript_name	transcript_biotype	is_canonical	exon_rank	exon_id	seqname	start	end	strand
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	6	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	7	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	8	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	9	ENSE00004802752	11	35229129	35232402	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	1	ENSE00003896435	11	35139171	35139370	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	5	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	6	ENSE00000710505	11	35196746	35196874	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	7	ENSE00003678600	11	35198121	35198246	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	8	ENSE00003692209	11	35201082	35201195	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	9	ENSE00000824450	11	35201671	35201787	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	10	ENSE00003469853	11	35204512	35204640	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	11	ENSE00000710490	11	35206112	35206243	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	12	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	13	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	14	ENSE00003608645	11	35211246	35211449	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	15	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	16	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	17	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	18	ENSE00004802752	11	35229129	35232402	1
human	ENSG00000026508	CD44	ENST00000526669	CD44-224	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	1
human	ENSG00000026508	CD44	ENST00000526669	CD44-224	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000526669	CD44-224	protein_coding	0	3	ENSE00002193843	11	35180274	35180329	1
human	ENSG00000026508	CD44	ENST00000526669	CD44-224	protein_coding	0	4	ENSE00002147699	11	35219340	35219387	1
human	ENSG00000026508	CD44	ENST00000526669	CD44-224	protein_coding	0	5	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000526669	CD44-224	protein_coding	0	6	ENSE00004802752	11	35229129	35232402	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	1	ENSE00002162131	11	35139182	35139370	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	3	ENSE00003620943	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	4	ENSE00003477603	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	5	ENSE00003473311	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	6	ENSE00003515975	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	7	ENSE00003466081	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000425428	CD44-207	nonsense_mediated_decay	0	8	ENSE00003649170	11	35229129	35230027	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	6	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	7	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	8	ENSE00003608645	11	35211246	35211449	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	9	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	10	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	11	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000433892	CD44-209	protein_coding	0	12	ENSE00004802752	11	35229129	35232402	1
human	ENSG00000026508	CD44	ENST00000525211	CD44-214	protein_coding	0	1	ENSE00002188577	11	35139262	35139370	1
human	ENSG00000026508	CD44	ENST00000525211	CD44-214	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000525211	CD44-214	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000525211	CD44-214	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000525211	CD44-214	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000525211	CD44-214	protein_coding	0	6	ENSE00000710490	11	35206112	35206243	1
human	ENSG00000026508	CD44	ENST00000525211	CD44-214	protein_coding	0	7	ENSE00003822403	11	35208105	35208137	1
human	ENSG00000026508	CD44	ENST00000278386	CD44-203	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	1
human	ENSG00000026508	CD44	ENST00000278386	CD44-203	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000278386	CD44-203	protein_coding	0	3	ENSE00000993276	11	35221705	35221732	1
human	ENSG00000026508	CD44	ENST00000278386	CD44-203	protein_coding	0	4	ENSE00004802754	11	35229129	35232402	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	6	ENSE00003608645	11	35211246	35211449	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	7	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	8	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	9	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000434472	CD44-210	protein_coding	0	10	ENSE00004802752	11	35229129	35232402	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	1	ENSE00002177526	11	35139304	35139370	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	6	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	7	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000352818	CD44-205	protein_coding	0	8	ENSE00003604394	11	35229129	35229333	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	1	ENSE00002198941	11	35139306	35139370	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	6	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	7	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	8	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000442151	CD44-211	protein_coding	0	9	ENSE00001598274	11	35222375	35223320	1
human	ENSG00000026508	CD44	ENST00000526000	CD44-221	protein_coding	0	1	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000526000	CD44-221	protein_coding	0	2	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000526000	CD44-221	protein_coding	0	3	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000526000	CD44-221	protein_coding	0	4	ENSE00001647548	11	35189835	35189972	1
human	ENSG00000026508	CD44	ENST00000526000	CD44-221	protein_coding	0	5	ENSE00003608645	11	35211246	35211449	1
human	ENSG00000026508	CD44	ENST00000526000	CD44-221	protein_coding	0	6	ENSE00002178504	11	35214852	35214861	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	1	ENSE00002153584	11	35176628	35176740	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	2	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	3	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	4	ENSE00001647548	11	35189835	35189972	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	5	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	6	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	7	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000279452	CD44-204	protein_coding	0	8	ENSE00002168101	11	35229129	35229322	1
human	ENSG00000026508	CD44	ENST00000527889	CD44-226	protein_coding	0	1	ENSE00002141013	11	35176641	35176740	1
human	ENSG00000026508	CD44	ENST00000527889	CD44-226	protein_coding	0	2	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000527889	CD44-226	protein_coding	0	3	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000527889	CD44-226	protein_coding	0	4	ENSE00001647548	11	35189835	35189972	1
human	ENSG00000026508	CD44	ENST00000527889	CD44-226	protein_coding	0	5	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000527889	CD44-226	protein_coding	0	6	ENSE00003828676	11	35209965	35209969	1
human	ENSG00000026508	CD44	ENST00000531118	CD44-232	retained_intron	0	1	ENSE00002191813	11	35176662	35176740	1
human	ENSG00000026508	CD44	ENST00000531118	CD44-232	retained_intron	0	2	ENSE00003533978	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000531118	CD44-232	retained_intron	0	3	ENSE00003506110	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000531118	CD44-232	retained_intron	0	4	ENSE00002190362	11	35189835	35190429	1
human	ENSG00000026508	CD44	ENST00000528455	CD44-228	protein_coding	0	1	ENSE00002197227	11	35176699	35176740	1
human	ENSG00000026508	CD44	ENST00000528455	CD44-228	protein_coding	0	2	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000528455	CD44-228	protein_coding	0	3	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000528455	CD44-228	protein_coding	0	4	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000528455	CD44-228	protein_coding	0	5	ENSE00003692209	11	35201082	35201195	1
human	ENSG00000026508	CD44	ENST00000528455	CD44-228	protein_coding	0	6	ENSE00002164519	11	35201671	35201767	1
human	ENSG00000026508	CD44	ENST00000531873	CD44-234	protein_coding	0	1	ENSE00002142692	11	35180279	35180407	1
human	ENSG00000026508	CD44	ENST00000531873	CD44-234	protein_coding	0	2	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000531873	CD44-234	protein_coding	0	3	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000531873	CD44-234	protein_coding	0	4	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000531873	CD44-234	protein_coding	0	5	ENSE00002199174	11	35211246	35211310	1
human	ENSG00000026508	CD44	ENST00000525209	CD44-213	protein_coding_CDS_not_defined	0	1	ENSE00002166630	11	35180358	35180407	1
human	ENSG00000026508	CD44	ENST00000525209	CD44-213	protein_coding_CDS_not_defined	0	2	ENSE00003506110	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000525209	CD44-213	protein_coding_CDS_not_defined	0	3	ENSE00003477603	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000525209	CD44-213	protein_coding_CDS_not_defined	0	4	ENSE00003637485	11	35198121	35198246	1
human	ENSG00000026508	CD44	ENST00000525209	CD44-213	protein_coding_CDS_not_defined	0	5	ENSE00002169416	11	35200539	35200636	1
human	ENSG00000026508	CD44	ENST00000531110	CD44-231	protein_coding	0	1	ENSE00002195645	11	35186843	35186900	1
human	ENSG00000026508	CD44	ENST00000531110	CD44-231	protein_coding	0	2	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000531110	CD44-231	protein_coding	0	3	ENSE00003469853	11	35204512	35204640	1
human	ENSG00000026508	CD44	ENST00000531110	CD44-231	protein_coding	0	4	ENSE00000710490	11	35206112	35206243	1
human	ENSG00000026508	CD44	ENST00000531110	CD44-231	protein_coding	0	5	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000531110	CD44-231	protein_coding	0	6	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000531110	CD44-231	protein_coding	0	7	ENSE00003823878	11	35211246	35211309	1
human	ENSG00000026508	CD44	ENST00000525685	CD44-219	protein_coding	0	1	ENSE00002153314	11	35186862	35186900	1
human	ENSG00000026508	CD44	ENST00000525685	CD44-219	protein_coding	0	2	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000525685	CD44-219	protein_coding	0	3	ENSE00000710505	11	35196746	35196874	1
human	ENSG00000026508	CD44	ENST00000525685	CD44-219	protein_coding	0	4	ENSE00003678600	11	35198121	35198246	1
human	ENSG00000026508	CD44	ENST00000525685	CD44-219	protein_coding	0	5	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000525685	CD44-219	protein_coding	0	6	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000525685	CD44-219	protein_coding	0	7	ENSE00003817903	11	35211246	35211257	1
human	ENSG00000026508	CD44	ENST00000534296	CD44-238	retained_intron	0	1	ENSE00003477603	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000534296	CD44-238	retained_intron	0	2	ENSE00003687007	11	35201082	35201195	1
human	ENSG00000026508	CD44	ENST00000534296	CD44-238	retained_intron	0	3	ENSE00003619384	11	35201668	35201787	1
human	ENSG00000026508	CD44	ENST00000534296	CD44-238	retained_intron	0	4	ENSE00002166363	11	35204512	35204909	1
human	ENSG00000026508	CD44	ENST00000525688	CD44-220	protein_coding	0	1	ENSE00002184001	11	35189882	35190065	1
human	ENSG00000026508	CD44	ENST00000525688	CD44-220	protein_coding	0	2	ENSE00003678600	11	35198121	35198246	1
human	ENSG00000026508	CD44	ENST00000525688	CD44-220	protein_coding	0	3	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000525688	CD44-220	protein_coding	0	4	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000525688	CD44-220	protein_coding	0	5	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000525688	CD44-220	protein_coding	0	6	ENSE00002177195	11	35229129	35229164	1
human	ENSG00000026508	CD44	ENST00000278385	CD44-202	protein_coding	0	1	ENSE00002152444	11	35189891	35190065	1
human	ENSG00000026508	CD44	ENST00000278385	CD44-202	protein_coding	0	2	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000278385	CD44-202	protein_coding	0	3	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000278385	CD44-202	protein_coding	0	4	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000278385	CD44-202	protein_coding	0	5	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000278385	CD44-202	protein_coding	0	6	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000278385	CD44-202	protein_coding	0	7	ENSE00002195580	11	35229129	35229244	1
human	ENSG00000026508	CD44	ENST00000533222	CD44-236	protein_coding	0	1	ENSE00002194976	11	35189900	35190065	1
human	ENSG00000026508	CD44	ENST00000533222	CD44-236	protein_coding	0	2	ENSE00003678600	11	35198121	35198246	1
human	ENSG00000026508	CD44	ENST00000533222	CD44-236	protein_coding	0	3	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000533222	CD44-236	protein_coding	0	4	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000533222	CD44-236	protein_coding	0	5	ENSE00002195540	11	35211246	35211342	1
human	ENSG00000026508	CD44	ENST00000525241	CD44-215	retained_intron	0	1	ENSE00002156359	11	35189926	35190065	1
human	ENSG00000026508	CD44	ENST00000525241	CD44-215	retained_intron	0	2	ENSE00002171286	11	35204512	35204811	1
human	ENSG00000026508	CD44	ENST00000524922	CD44-212	protein_coding	0	1	ENSE00002164148	11	35190010	35190065	1
human	ENSG00000026508	CD44	ENST00000524922	CD44-212	protein_coding	0	2	ENSE00002151908	11	35198148	35198246	1
human	ENSG00000026508	CD44	ENST00000524922	CD44-212	protein_coding	0	3	ENSE00003692209	11	35201082	35201195	1
human	ENSG00000026508	CD44	ENST00000524922	CD44-212	protein_coding	0	4	ENSE00002159834	11	35201671	35201753	1
human	ENSG00000026508	CD44	ENST00000528922	CD44-230	protein_coding_CDS_not_defined	0	1	ENSE00002155909	11	35197162	35197793	1
human	ENSG00000026508	CD44	ENST00000528922	CD44-230	protein_coding_CDS_not_defined	0	2	ENSE00002153468	11	35197869	35198555	1
human	ENSG00000026508	CD44	ENST00000525348	CD44-217	retained_intron	0	1	ENSE00002147765	11	35197857	35198246	1
human	ENSG00000026508	CD44	ENST00000525348	CD44-217	retained_intron	0	2	ENSE00003687007	11	35201082	35201195	1
human	ENSG00000026508	CD44	ENST00000525348	CD44-217	retained_intron	0	3	ENSE00002145160	11	35201668	35201731	1
human	ENSG00000026508	CD44	ENST00000526553	CD44-223	protein_coding	0	1	ENSE00002149457	11	35201083	35201195	1
human	ENSG00000026508	CD44	ENST00000526553	CD44-223	protein_coding	0	2	ENSE00003469853	11	35204512	35204640	1
human	ENSG00000026508	CD44	ENST00000526553	CD44-223	protein_coding	0	3	ENSE00002160255	11	35206115	35206243	1
human	ENSG00000026508	CD44	ENST00000526553	CD44-223	protein_coding	0	4	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000526553	CD44-223	protein_coding	0	5	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000526553	CD44-223	protein_coding	0	6	ENSE00003828127	11	35211246	35211253	1
human	ENSG00000026508	CD44	ENST00000534082	CD44-237	retained_intron	0	1	ENSE00002157331	11	35201144	35201195	1
human	ENSG00000026508	CD44	ENST00000534082	CD44-237	retained_intron	0	2	ENSE00003619384	11	35201668	35201787	1
human	ENSG00000026508	CD44	ENST00000534082	CD44-237	retained_intron	0	3	ENSE00003593405	11	35204512	35204640	1
human	ENSG00000026508	CD44	ENST00000534082	CD44-237	retained_intron	0	4	ENSE00002178770	11	35205785	35206047	1
human	ENSG00000026508	CD44	ENST00000525293	CD44-216	retained_intron	0	1	ENSE00002193053	11	35201621	35201787	1
human	ENSG00000026508	CD44	ENST00000525293	CD44-216	retained_intron	0	2	ENSE00003551494	11	35211246	35211449	1
human	ENSG00000026508	CD44	ENST00000525293	CD44-216	retained_intron	0	3	ENSE00003473311	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000525293	CD44-216	retained_intron	0	4	ENSE00003515975	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000525293	CD44-216	retained_intron	0	5	ENSE00002176940	11	35221654	35221716	1
human	ENSG00000026508	CD44	ENST00000528672	CD44-229	protein_coding	0	1	ENSE00002162882	11	35201679	35201787	1
human	ENSG00000026508	CD44	ENST00000528672	CD44-229	protein_coding	0	2	ENSE00003469853	11	35204512	35204640	1
human	ENSG00000026508	CD44	ENST00000528672	CD44-229	protein_coding	0	3	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000528672	CD44-229	protein_coding	0	4	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000528672	CD44-229	protein_coding	0	5	ENSE00002153043	11	35211246	35211401	1
human	ENSG00000026508	CD44	ENST00000532339	CD44-235	retained_intron	0	1	ENSE00002198931	11	35205715	35206243	1
human	ENSG00000026508	CD44	ENST00000532339	CD44-235	retained_intron	0	2	ENSE00002192111	11	35208105	35208164	1
human	ENSG00000026508	CD44	ENST00000527326	CD44-225	retained_intron	0	1	ENSE00002150596	11	35214666	35214914	1
human	ENSG00000026508	CD44	ENST00000527326	CD44-225	retained_intron	0	2	ENSE00003515975	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000527326	CD44-225	retained_intron	0	3	ENSE00003466081	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000527326	CD44-225	retained_intron	0	4	ENSE00002186415	11	35229129	35229446	1
