species	gene_id	gene_symbol	exon_id	seqname	start	end	strand	genomic_exon_index
human	ENSG00000026508	CD44	ENSE00002162882	11	35201679	35201787	1	61
human	ENSG00000026508	CD44	ENSE00003469853	11	35204512	35204640	1	62
human	ENSG00000026508	CD44	ENSE00003593405	11	35204512	35204640	1	63
human	ENSG00000026508	CD44	ENSE00002171286	11	35204512	35204811	1	64
human	ENSG00000026508	CD44	ENSE00002166363	11	35204512	35204909	1	65
human	ENSG00000026508	CD44	ENSE00004747479	11	35204512	35206043	1	66
human	ENSG00000026508	CD44	ENSE00004747477	11	35204512	35206057	1	67
human	ENSG00000026508	CD44	ENSE00002198931	11	35205715	35206243	1	68
human	ENSG00000026508	CD44	ENSE00004747480	11	35205785	35206037	1	69
human	ENSG00000026508	CD44	ENSE00004747478	11	35205785	35206038	1	70
human	ENSG00000026508	CD44	ENSE00002178770	11	35205785	35206047	1	71
human	ENSG00000026508	CD44	ENSE00004768693	11	35205899	35206037	1	72
human	ENSG00000026508	CD44	ENSE00000710490	11	35206112	35206243	1	73
human	ENSG00000026508	CD44	ENSE00002160255	11	35206115	35206243	1	74
human	ENSG00000026508	CD44	ENSE00003822403	11	35208105	35208137	1	75
human	ENSG00000026508	CD44	ENSE00002192111	11	35208105	35208164	1	76
human	ENSG00000026508	CD44	ENSE00003790928	11	35208105	35208206	1	77
human	ENSG00000026508	CD44	ENSE00002150529	11	35208137	35208206	1	78
human	ENSG00000026508	CD44	ENSE00003828676	11	35209965	35209969	1	79
human	ENSG00000026508	CD44	ENSE00002164541	11	35209965	35209974	1	80
human	ENSG00000026508	CD44	ENSE00000710485	11	35209965	35210054	1	81
human	ENSG00000026508	CD44	ENSE00003828127	11	35211246	35211253	1	82
human	ENSG00000026508	CD44	ENSE00003817903	11	35211246	35211257	1	83
human	ENSG00000026508	CD44	ENSE00003823878	11	35211246	35211309	1	84
human	ENSG00000026508	CD44	ENSE00002199174	11	35211246	35211310	1	85
human	ENSG00000026508	CD44	ENSE00002195540	11	35211246	35211342	1	86
human	ENSG00000026508	CD44	ENSE00002153043	11	35211246	35211401	1	87
human	ENSG00000026508	CD44	ENSE00003608645	11	35211246	35211449	1	88
human	ENSG00000026508	CD44	ENSE00003551494	11	35211246	35211449	1	89
human	ENSG00000026508	CD44	ENSE00004466520	11	35211264	35211449	1	90
human	ENSG00000026508	CD44	ENSE00002150596	11	35214666	35214914	1	91
human	ENSG00000026508	CD44	ENSE00002178504	11	35214852	35214861	1	92
human	ENSG00000026508	CD44	ENSE00003526469	11	35214852	35214914	1	93
human	ENSG00000026508	CD44	ENSE00003473311	11	35214852	35214914	1	94
human	ENSG00000026508	CD44	ENSE00002150934	11	35218929	35219387	1	95
human	ENSG00000026508	CD44	ENSE00003632343	11	35219316	35219387	1	96
human	ENSG00000026508	CD44	ENSE00003515975	11	35219316	35219387	1	97
human	ENSG00000026508	CD44	ENSE00002147699	11	35219340	35219387	1	98
human	ENSG00000026508	CD44	ENSE00002190979	11	35219344	35219387	1	99
human	ENSG00000026508	CD44	ENSE00002176940	11	35221654	35221716	1	100
human	ENSG00000026508	CD44	ENSE00002199247	11	35221654	35221731	1	101
human	ENSG00000026508	CD44	ENSE00003534676	11	35221654	35221732	1	102
human	ENSG00000026508	CD44	ENSE00003466081	11	35221654	35221732	1	103
human	ENSG00000026508	CD44	ENSE00000993276	11	35221705	35221732	1	104
human	ENSG00000026508	CD44	ENSE00001598274	11	35222375	35223320	1	105
human	ENSG00000026508	CD44	ENSE00002177195	11	35229129	35229164	1	106
human	ENSG00000026508	CD44	ENSE00002195580	11	35229129	35229244	1	107
human	ENSG00000026508	CD44	ENSE00002168101	11	35229129	35229322	1	108
human	ENSG00000026508	CD44	ENSE00003604394	11	35229129	35229333	1	109
human	ENSG00000026508	CD44	ENSE00002186415	11	35229129	35229446	1	110
human	ENSG00000026508	CD44	ENSE00002167362	11	35229129	35229789	1	111
human	ENSG00000026508	CD44	ENSE00003649170	11	35229129	35230027	1	112
human	ENSG00000026508	CD44	ENSE00004802752	11	35229129	35232402	1	113
human	ENSG00000026508	CD44	ENSE00004802754	11	35229129	35232402	1	114
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000494459	2	102641486	102644682	-1	1
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000687024	2	102644478	102644682	-1	2
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000428727	2	102652553	102652631	-1	3
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429014	2	102654606	102654677	-1	4
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429020	2	102658887	102658955	-1	5
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429028	2	102661675	102661881	-1	6
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429038	2	102662828	102662917	-1	7
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429046	2	102664579	102664680	-1	8
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429052	2	102668158	102668283	-1	9
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429059	2	102669703	102669822	-1	10
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166711	2	102672606	102672722	-1	11
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166716	2	102673181	102673294	-1	12
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166719	2	102675630	102675755	-1	13
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166710	2	102676748	102676864	-1	14
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166708	2	102679002	102679127	-1	15
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000738236	2	102682238	102683581	-1	16
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429126	2	102683360	102683581	-1	17
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001251397	2	102686244	102686312	-1	18
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001307549	2	102686244	102686312	-1	19
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001292286	2	102691905	102692041	-1	20
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001285805	2	102691905	102692041	-1	21
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001268849	2	102695626	102695791	-1	22
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001269627	2	102695626	102695791	-1	23
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000940032	2	102731613	102731691	-1	24
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000933031	2	102731613	102731803	-1	25
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00002199113	2	102731613	102732010	-1	26
