species	matrix_row	matrix_column	cluster_family	cluster	hox_number	gene_symbol	gene_id	transcript_id	protein_id	cds_rank	seqname	start	end	strand	phase	source
human	human	C	C	C	10	HOXC10	ENSG00000180818	ENST00001125459	ENSP00000795264	2	12	53989171	53989244	+	2	havana_tagene
human	human	C	C	C	9	HOXC9	ENSG00000180806	ENST00000508190	ENSP00000423861	1	12	54000189	54000726	+	0	havana
human	human	C	C	C	9	HOXC9	ENSG00000180806	ENST00000508190	ENSP00000423861	2	12	54002430	54002671	+	2	havana
human	human	C	C	C	8	HOXC8	ENSG00000037965	ENST00001141970	ENSP00000801260	1	12	54009285	54009720	+	0	ensembl_havana
human	human	C	C	C	8	HOXC8	ENSG00000037965	ENST00001141970	ENSP00000801260	2	12	54011089	54011378	+	2	ensembl_havana
human	human	C	C	C	6	HOXC6	ENSG00000197757	ENST00000504315	ENSP00000424124	1	12	54028768	54028922	+	0	havana
human	human	C	C	C	5	HOXC5	ENSG00000172789	ENST00001142737	ENSP00000806046	1	12	54033123	54033576	+	0	ensembl_havana
human	human	C	C	C	5	HOXC5	ENSG00000172789	ENST00001142737	ENSP00000806046	2	12	54034278	54034489	+	2	ensembl_havana
human	human	C	C	C	4	HOXC4	ENSG00000198353	ENST00000303406	ENSP00000305973	1	12	54053923	54054361	+	0	ensembl_havana
human	human	C	C	C	4	HOXC4	ENSG00000198353	ENST00000303406	ENSP00000305973	2	12	54054850	54055202	+	2	ensembl_havana
human	human	D	D	D	13	HOXD13	ENSG00000128714	ENST00001144981	ENSP00000811539	1	2	176092891	176093671	+	0	ensembl_havana
human	human	D	D	D	13	HOXD13	ENSG00000128714	ENST00001144981	ENSP00000811539	2	2	176094480	176094727	+	2	ensembl_havana
human	human	D	D	D	12	HOXD12	ENSG00000170178	ENST00000406506	ENSP00000385586	1	2	176099802	176100375	+	0	ensembl_havana
human	human	D	D	D	12	HOXD12	ENSG00000170178	ENST00000406506	ENSP00000385586	2	2	176100522	176100757	+	2	ensembl_havana
human	human	D	D	D	11	HOXD11	ENSG00000128713	ENST00001140783	ENSP00000802503	1	2	176107356	176108136	+	0	ensembl_havana
human	human	D	D	D	11	HOXD11	ENSG00000128713	ENST00001140783	ENSP00000802503	2	2	176108907	176109139	+	2	ensembl_havana
human	human	D	D	D	10	HOXD10	ENSG00000128710	ENST00001144475	ENSP00000802502	1	2	176116834	176117578	+	0	ensembl_havana
human	human	D	D	D	10	HOXD10	ENSG00000128710	ENST00001144475	ENSP00000802502	2	2	176118954	176119228	+	2	ensembl_havana
human	human	D	D	D	9	HOXD9	ENSG00000128709	ENST00001141605	ENSP00000802501	1	2	176122769	176123585	+	0	ensembl_havana
human	human	D	D	D	9	HOXD9	ENSG00000128709	ENST00001141605	ENSP00000802501	2	2	176123934	176124172	+	2	ensembl_havana
human	human	D	D	D	8	HOXD8	ENSG00000175879	ENST00000429017	ENSP00000406045	1	2	176130919	176130943	+	0	ensembl_havana
human	human	D	D	D	8	HOXD8	ENSG00000175879	ENST00000429017	ENSP00000406045	2	2	176131317	176131609	+	2	ensembl_havana
human	human	D	D	D	4	HOXD4	ENSG00000170166	ENST00001121748	ENSP00000791553	1	2	176151634	176152066	+	0	havana_tagene
human	human	D	D	D	4	HOXD4	ENSG00000170166	ENST00001121748	ENSP00000791553	2	2	176152705	176152709	+	2	havana_tagene
human	human	D	D	D	3	HOXD3	ENSG00000128652	ENST00000963805	ENSP00000633864	1	2	176169115	176169655	+	0	havana_tagene
human	human	D	D	D	3	HOXD3	ENSG00000128652	ENST00000963805	ENSP00000633864	2	2	176171517	176172271	+	2	havana_tagene
human	human	D	D	D	1	HOXD1	ENSG00000128645	ENST00001046781	ENSP00000716598	1	2	176188802	176189453	+	0	havana_tagene
human	human	D	D	D	1	HOXD1	ENSG00000128645	ENST00001046781	ENSP00000716598	2	2	176189549	176189681	+	2	havana_tagene
human	human	D	D	D	1	HOXD1	ENSG00000128645	ENST00001046781	ENSP00000716598	3	2	176189808	176189832	+	1	havana_tagene
mouse	mouse	A	A	A	13	Hoxa13	ENSMUSG00000038203	ENSMUST00000147595	ENSMUSP00000125221	1	6	52236844	52237759	-	0	havana
mouse	mouse	A	A	A	13	Hoxa13	ENSMUSG00000038203	ENSMUST00000147595	ENSMUSP00000125221	2	6	52235887	52236128	-	2	havana
mouse	mouse	A	A	A	11	Hoxa11	ENSMUSG00000038210	ENSMUST00000048026	ENSMUSP00000040920	1	6	52221991	52222699	-	0	ensembl_havana
mouse	mouse	A	A	A	11	Hoxa11	ENSMUSG00000038210	ENSMUST00000048026	ENSMUSP00000040920	2	6	52220343	52220572	-	2	ensembl_havana
mouse	mouse	A	A	A	10	Hoxa10	ENSMUSG00000000938	ENSMUST00000121043	ENSMUSP00000112872	1	6	52217258	52217267	-	0	ensembl_havana
mouse	mouse	A	A	A	10	Hoxa10	ENSMUSG00000000938	ENSMUST00000121043	ENSMUSP00000112872	2	6	52209489	52209760	-	2	ensembl_havana
mouse	mouse	A	A	A	9	Hoxa9	ENSMUSG00000038227	ENSMUST00000048680	ENSMUSP00000046939	1	6	52202508	52203084	-	0	ensembl_havana
mouse	mouse	A	A	A	9	Hoxa9	ENSMUSG00000038227	ENSMUST00000048680	ENSMUSP00000046939	2	6	52201227	52201462	-	2	ensembl_havana
mouse	mouse	A	A	A	7	Hoxa7	ENSMUSG00000038236	ENSMUST00000150041	ENSMUSP00000140519	1	6	52194010	52194219	-	0	havana
mouse	mouse	A	A	A	7	Hoxa7	ENSMUSG00000038236	ENSMUST00000150041	ENSMUSP00000140519	2	6	52192989	52193010	-	0	havana
mouse	mouse	A	A	A	6	Hoxa6	ENSMUSG00000043219	ENSMUST00000062829	ENSMUSP00000058755	1	6	52185166	52185604	-	0	ensembl_havana
mouse	mouse	A	A	A	6	Hoxa6	ENSMUSG00000043219	ENSMUST00000062829	ENSMUSP00000058755	2	6	52183348	52183604	-	2	ensembl_havana
mouse	mouse	A	A	A	5	Hoxa5	ENSMUSG00000038253	ENSMUST00000048794	ENSMUSP00000039012	1	6	52180769	52181330	-	0	ensembl_havana
mouse	mouse	A	A	A	5	Hoxa5	ENSMUSG00000038253	ENSMUST00000048794	ENSMUSP00000039012	2	6	52179564	52179811	-	2	ensembl_havana
mouse	mouse	A	A	A	4	Hoxa4	ENSMUSG00000000942	ENSMUST00000101395	ENSMUSP00000098943	1	6	52168158	52168668	-	0	ensembl_havana
mouse	mouse	A	A	A	4	Hoxa4	ENSMUSG00000000942	ENSMUST00000101395	ENSMUSP00000098943	2	6	52167325	52167668	-	2	ensembl_havana
mouse	mouse	A	A	A	3	Hoxa3	ENSMUSG00000079560	ENSMUST00000114434	ENSMUSP00000110077	1	6	52149101	52149629	-	0	ensembl_havana
mouse	mouse	A	A	A	3	Hoxa3	ENSMUSG00000079560	ENSMUST00000114434	ENSMUSP00000110077	2	6	52146923	52147722	-	2	ensembl_havana
mouse	mouse	A	A	A	2	Hoxa2	ENSMUSG00000014704	ENSMUST00000014848	ENSMUSP00000014848	1	6	52141246	52141624	-	0	ensembl_havana
mouse	mouse	A	A	A	2	Hoxa2	ENSMUSG00000014704	ENSMUST00000014848	ENSMUSP00000014848	2	6	52139869	52140605	-	2	ensembl_havana
mouse	mouse	A	A	A	1	Hoxa1	ENSMUSG00000029844	ENSMUST00000000964	ENSMUSP00000000964	1	6	52134547	52135201	-	0	ensembl_havana
mouse	mouse	A	A	A	1	Hoxa1	ENSMUSG00000029844	ENSMUST00000000964	ENSMUSP00000000964	2	6	52133717	52134069	-	2	ensembl_havana
mouse	mouse	B	B	B	13	Hoxb13	ENSMUSG00000049604	ENSMUST00000062709	ENSMUSP00000056315	1	11	96085269	96085872	+	0	ensembl_havana
mouse	mouse	B	B	B	13	Hoxb13	ENSMUSG00000049604	ENSMUST00000062709	ENSMUSP00000056315	2	11	96086799	96087052	+	2	ensembl_havana
mouse	mouse	B	B	B	9	Hoxb9	ENSMUSG00000020875	ENSMUST00000000010	ENSMUSP00000000010	1	11	96162368	96162884	+	0	ensembl_havana
mouse	mouse	B	B	B	9	Hoxb9	ENSMUSG00000020875	ENSMUST00000000010	ENSMUSP00000000010	2	11	96165450	96165682	+	2	ensembl_havana
mouse	mouse	B	B	B	8	Hoxb8	ENSMUSG00000056648	ENSMUST00000438744	ENSMUSP00000217107	1	11	96173789	96174212	+	0	havana_tagene
mouse	mouse	B	B	B	8	Hoxb8	ENSMUSG00000056648	ENSMUST00000438744	ENSMUSP00000217107	2	11	96174992	96175293	+	2	havana_tagene
mouse	mouse	B	B	B	7	Hoxb7	ENSMUSG00000038721	ENSMUST00000049352	ENSMUSP00000040121	1	11	96177554	96177953	+	0	ensembl_havana
mouse	mouse	B	B	B	7	Hoxb7	ENSMUSG00000038721	ENSMUST00000049352	ENSMUSP00000040121	2	11	96180203	96180453	+	2	ensembl_havana
mouse	mouse	B	B	B	6	Hoxb6	ENSMUSG00000000690	ENSMUST00000173432	ENSMUSP00000133281	1	11	96190003	96190417	+	0	havana
mouse	mouse	B	B	B	6	Hoxb6	ENSMUSG00000000690	ENSMUST00000173432	ENSMUSP00000133281	2	11	96191495	96191751	+	2	havana
mouse	mouse	B	B	B	5	Hoxb5	ENSMUSG00000038700	ENSMUST00000049272	ENSMUSP00000035423	1	11	96194440	96195001	+	0	ensembl_havana
mouse	mouse	B	B	B	5	Hoxb5	ENSMUSG00000038700	ENSMUST00000049272	ENSMUSP00000035423	2	11	96195716	96195960	+	2	ensembl_havana
mouse	mouse	B	B	B	4	Hoxb4	ENSMUSG00000038692	ENSMUST00000049241	ENSMUSP00000048002	1	11	96209596	96210049	+	0	ensembl_havana
mouse	mouse	B	B	B	4	Hoxb4	ENSMUSG00000038692	ENSMUST00000049241	ENSMUSP00000048002	2	11	96210856	96211151	+	2	ensembl_havana
mouse	mouse	B	B	B	3	Hoxb3	ENSMUSG00000048763	ENSMUST00000093944	ENSMUSP00000091476	1	11	96235075	96235522	+	0	ensembl_havana
mouse	mouse	B	B	B	3	Hoxb3	ENSMUSG00000048763	ENSMUST00000093944	ENSMUSP00000091476	2	11	96236372	96237222	+	2	ensembl_havana
mouse	mouse	B	B	B	2	Hoxb2	ENSMUSG00000075588	ENSMUST00000100523	ENSMUSP00000098092	1	11	96242637	96243021	+	0	ensembl_havana
mouse	mouse	B	B	B	2	Hoxb2	ENSMUSG00000075588	ENSMUST00000100523	ENSMUSP00000098092	2	11	96243776	96244452	+	2	ensembl_havana
mouse	mouse	B	B	B	1	Hoxb1	ENSMUSG00000018973	ENSMUST00000019117	ENSMUSP00000019117	1	11	96256653	96257217	+	0	ensembl_havana
mouse	mouse	B	B	B	1	Hoxb1	ENSMUSG00000018973	ENSMUST00000019117	ENSMUSP00000019117	2	11	96257637	96257962	+	2	ensembl_havana
mouse	mouse	C	C	C	13	Hoxc13	ENSMUSG00000001655	ENSMUST00000001700	ENSMUSP00000001700	1	15	102829623	102830352	+	0	ensembl_havana
mouse	mouse	C	C	C	13	Hoxc13	ENSMUSG00000001655	ENSMUST00000001700	ENSMUSP00000001700	2	15	102835604	102835857	+	2	ensembl_havana
mouse	mouse	C	C	C	12	Hoxc12	ENSMUSG00000050328	ENSMUST00000055562	ENSMUSP00000051003	1	15	102845288	102845891	+	0	ensembl_havana
mouse	mouse	C	C	C	12	Hoxc12	ENSMUSG00000050328	ENSMUST00000055562	ENSMUSP00000051003	2	15	102846714	102846949	+	2	ensembl_havana
mouse	mouse	C	C	C	11	Hoxc11	ENSMUSG00000001656	ENSMUST00000001701	ENSMUSP00000001701	1	15	102862961	102863642	+	0	ensembl_havana
mouse	mouse	C	C	C	11	Hoxc11	ENSMUSG00000001656	ENSMUST00000001701	ENSMUSP00000001701	2	15	102864904	102865133	+	2	ensembl_havana
mouse	mouse	C	C	C	10	Hoxc10	ENSMUSG00000022484	ENSMUST00000001699	ENSMUSP00000001699	1	15	102875293	102876043	+	0	ensembl_havana
mouse	mouse	C	C	C	10	Hoxc10	ENSMUSG00000022484	ENSMUST00000001699	ENSMUSP00000001699	2	15	102879233	102879507	+	2	ensembl_havana
mouse	mouse	C	C	C	9	Hoxc9	ENSMUSG00000036139	ENSMUST00000403677	ENSMUSP00000182040	1	15	102890085	102890622	+	0	havana_tagene
mouse	mouse	C	C	C	9	Hoxc9	ENSMUSG00000036139	ENSMUST00000403677	ENSMUSP00000182040	2	15	102892327	102892568	+	2	havana_tagene
mouse	mouse	C	C	C	8	Hoxc8	ENSMUSG00000001657	ENSMUST00000001703	ENSMUSP00000001703	1	15	102899212	102899647	+	0	ensembl_havana
mouse	mouse	C	C	C	8	Hoxc8	ENSMUSG00000001657	ENSMUST00000001703	ENSMUSP00000001703	2	15	102900995	102901284	+	2	ensembl_havana
mouse	mouse	C	C	C	6	Hoxc6	ENSMUSG00000001661	ENSMUST00000001711	ENSMUSP00000001711	1	15	102918038	102918437	+	0	ensembl_havana
mouse	mouse	C	C	C	6	Hoxc6	ENSMUSG00000001661	ENSMUST00000001711	ENSMUSP00000001711	2	15	102919166	102919470	+	2	ensembl_havana
mouse	mouse	C	C	C	5	Hoxc5	ENSMUSG00000022485	ENSMUST00000001709	ENSMUSP00000001709	1	15	102922514	102922967	+	0	ensembl_havana
mouse	mouse	C	C	C	5	Hoxc5	ENSMUSG00000022485	ENSMUST00000001709	ENSMUSP00000001709	2	15	102923660	102923871	+	2	ensembl_havana
mouse	mouse	C	C	C	4	Hoxc4	ENSMUSG00000075394	ENSMUST00000165375	ENSMUSP00000133561	1	15	102943149	102943587	+	0	havana
mouse	mouse	C	C	C	4	Hoxc4	ENSMUSG00000075394	ENSMUST00000165375	ENSMUSP00000133561	2	15	102943693	102943706	+	2	havana
mouse	mouse	D	D	D	13	Hoxd13	ENSMUSG00000001819	ENSMUST00000001872	ENSMUSP00000001872	1	2	74498654	74499422	+	0	ensembl_havana
mouse	mouse	D	D	D	13	Hoxd13	ENSMUSG00000001819	ENSMUST00000001872	ENSMUSP00000001872	2	2	74500230	74500477	+	2	ensembl_havana
mouse	mouse	D	D	D	12	Hoxd12	ENSMUSG00000001823	ENSMUST00000001878	ENSMUSP00000001878	1	2	74505431	74505998	+	0	ensembl_havana
mouse	mouse	D	D	D	12	Hoxd12	ENSMUSG00000001823	ENSMUST00000001878	ENSMUSP00000001878	2	2	74506158	74506393	+	2	ensembl_havana
mouse	mouse	D	D	D	11	Hoxd11	ENSMUSG00000042499	ENSMUST00000142312	ENSMUSP00000122582	1	2	74512737	74513511	+	0	ensembl_havana
mouse	mouse	D	D	D	11	Hoxd11	ENSMUSG00000042499	ENSMUST00000142312	ENSMUSP00000122582	2	2	74514247	74514479	+	2	ensembl_havana
mouse	mouse	D	D	D	10	Hoxd10	ENSMUSG00000050368	ENSMUST00000061745	ENSMUSP00000062412	1	2	74522324	74523068	+	0	ensembl_havana
mouse	mouse	D	D	D	10	Hoxd10	ENSMUSG00000050368	ENSMUST00000061745	ENSMUSP00000062412	2	2	74524435	74524709	+	2	ensembl_havana
mouse	mouse	D	D	D	9	Hoxd9	ENSMUSG00000043342	ENSMUST00000059272	ENSMUSP00000058490	1	2	74528400	74529177	+	0	ensembl_havana
mouse	mouse	D	D	D	9	Hoxd9	ENSMUSG00000043342	ENSMUST00000059272	ENSMUSP00000058490	2	2	74529524	74529762	+	2	ensembl_havana
mouse	mouse	D	D	D	8	Hoxd8	ENSMUSG00000027102	ENSMUST00000019749	ENSMUSP00000019749	1	2	74535892	74536462	+	0	ensembl_havana
mouse	mouse	D	D	D	8	Hoxd8	ENSMUSG00000027102	ENSMUST00000019749	ENSMUSP00000019749	2	2	74536858	74537153	+	2	ensembl_havana
mouse	mouse	D	D	D	4	Hoxd4	ENSMUSG00000101174	ENSMUST00000047904	ENSMUSP00000047949	1	2	74557623	74558049	+	0	ensembl
mouse	mouse	D	D	D	4	Hoxd4	ENSMUSG00000101174	ENSMUST00000047904	ENSMUSP00000047949	2	2	74558606	74558928	+	2	ensembl
mouse	mouse	D	D	D	3	Hoxd3	ENSMUSG00000079277	ENSMUST00000111983	ENSMUSP00000107614	1	2	74574356	74574899	+	0	ensembl_havana
mouse	mouse	D	D	D	3	Hoxd3	ENSMUSG00000079277	ENSMUST00000111983	ENSMUSP00000107614	2	2	74576666	74577420	+	2	ensembl_havana
mouse	mouse	D	D	D	1	Hoxd1	ENSMUSG00000042448	ENSMUST00000047793	ENSMUSP00000043078	1	2	74593446	74594097	+	0	ensembl_havana
mouse	mouse	D	D	D	1	Hoxd1	ENSMUSG00000042448	ENSMUST00000047793	ENSMUSP00000043078	2	2	74594399	74594730	+	2	ensembl_havana
chicken	chicken	A	A	A	13	HOXA13	ENSGALG00010001321	ENSGALT00010003054	ENSGALP00010001583	1	2	32584734	32585406	-	0	ensembl
chicken	chicken	A	A	A	13	HOXA13	ENSGALG00010001321	ENSGALT00010003054	ENSGALP00010001583	2	2	32583978	32584219	-	2	ensembl
chicken	chicken	A	A	A	11	HOXA11	ENSGALG00010001848	ENSGALT00010004201	ENSGALP00010002498	1	2	32568618	32569278	-	0	ensembl
chicken	chicken	A	A	A	11	HOXA11	ENSGALG00010001848	ENSGALT00010004201	ENSGALP00010002498	2	2	32567047	32567276	-	2	ensembl
chicken	chicken	A	A	A	10	HOXA10	ENSGALG00010001844	ENSGALT00010004197	ENSGALP00010002494	1	2	32557097	32557916	-	0	ensembl
chicken	chicken	A	A	A	10	HOXA10	ENSGALG00010001844	ENSGALT00010004197	ENSGALP00010002494	2	2	32555477	32555748	-	2	ensembl
chicken	chicken	A	A	A	9	HOXA9	ENSGALG00010001840	ENSGALT00010004190	ENSGALP00010002487	1	2	32548569	32549112	-	0	ensembl
chicken	chicken	A	A	A	9	HOXA9	ENSGALG00010001840	ENSGALT00010004190	ENSGALP00010002487	2	2	32547372	32547607	-	2	ensembl
chicken	chicken	A	A	A	7	HOXA7	ENSGALG00010001826	ENSGALT00010004159	ENSGALP00010002456	1	2	32542128	32542394	-	0	ensembl
chicken	chicken	A	A	A	7	HOXA7	ENSGALG00010001826	ENSGALT00010004159	ENSGALP00010002456	2	2	32540051	32540168	-	0	ensembl
chicken	chicken	A	A	A	7	HOXA7	ENSGALG00010001826	ENSGALT00010004159	ENSGALP00010002456	3	2	32538657	32538937	-	2	ensembl
chicken	chicken	A	A	A	6	HOXA6	ENSGALG00010001819	ENSGALT00010004135	ENSGALP00010002432	1	2	32531451	32531886	-	0	ensembl
chicken	chicken	A	A	A	6	HOXA6	ENSGALG00010001819	ENSGALT00010004135	ENSGALP00010002432	2	2	32529995	32530251	-	2	ensembl
chicken	chicken	A	A	A	5	HOXA5	ENSGALG00010001813	ENSGALT00010004128	ENSGALP00010002425	1	2	32527319	32527880	-	0	ensembl
chicken	chicken	A	A	A	5	HOXA5	ENSGALG00010001813	ENSGALT00010004128	ENSGALP00010002425	2	2	32526201	32526448	-	2	ensembl
chicken	chicken	A	A	A	4	HOXA4	ENSGALG00010001808	ENSGALT00010004119	ENSGALP00010002416	1	2	32513712	32514309	-	0	ensembl
chicken	chicken	A	A	A	4	HOXA4	ENSGALG00010001808	ENSGALT00010004119	ENSGALP00010002416	2	2	32512890	32513218	-	2	ensembl
chicken	chicken	A	A	A	3	HOXA3	ENSGALG00010001801	ENSGALT00010004101	ENSGALP00010002398	1	2	32494955	32495426	-	0	ensembl
chicken	chicken	A	A	A	3	HOXA3	ENSGALG00010001801	ENSGALT00010004101	ENSGALP00010002398	2	2	32492813	32493579	-	2	ensembl
chicken	chicken	A	A	A	2	HOXA2	ENSGALG00010001790	ENSGALT00010004079	ENSGALP00010002376	1	2	32487289	32487670	-	0	ensembl
chicken	chicken	A	A	A	2	HOXA2	ENSGALG00010001790	ENSGALT00010004079	ENSGALP00010002376	2	2	32485946	32486688	-	2	ensembl
chicken	chicken	A	A	A	1	HOXA1	ENSGALG00010001788	ENSGALT00010004070	ENSGALP00010002367	1	2	32480952	32481558	-	0	ensembl
chicken	chicken	A	A	A	1	HOXA1	ENSGALG00010001788	ENSGALT00010004070	ENSGALP00010002367	2	2	32480230	32480582	-	2	ensembl
chicken	chicken	B	B	B	13	HOXB13	ENSGALG00010026052	ENSGALT00010063516	ENSGALP00010039208	1	27	3350930	3351512	+	0	ensembl
chicken	chicken	B	B	B	13	HOXB13	ENSGALG00010026052	ENSGALT00010063516	ENSGALP00010039208	2	27	3352267	3352520	+	2	ensembl
chicken	chicken	B	B	B	9	HOXB9	ENSGALG00010026782	ENSGALT00010064966	ENSGALP00010039674	1	27	3389884	3390391	+	0	ensembl
chicken	chicken	B	B	B	9	HOXB9	ENSGALG00010026782	ENSGALT00010064966	ENSGALP00010039674	2	27	3393648	3393880	+	2	ensembl
chicken	chicken	B	B	B	8	HOXB8	ENSGALG00010021446	ENSGALT00010052000	ENSGALP00010031038	1	27	3402900	3403320	+	0	ensembl
chicken	chicken	B	B	B	8	HOXB8	ENSGALG00010021446	ENSGALT00010052000	ENSGALP00010031038	2	27	3404152	3404453	+	2	ensembl
