species	species_row	display_name	scientific_name	assembly	assembly_accession	source_database	release	matrix_row	matrix_column	cluster_column	cluster_family	cluster	cluster_name	hox_number	hox_slot	hox_slot_label	slot	gene_symbol	gene_id	gene_version	gene_stable_id_version	gene_source	gene_biotype	seqname	gene_start	gene_end	strand	transcript_id	transcript_version	transcript_stable_id_version	transcript_name	transcript_source	transcript_biotype	transcript_start	transcript_end	transcript_span_bp	protein_id	protein_version	protein_stable_id_version	cds_piece_count	cds_length_bp	initiation_codon_center	coding_midpoint	stop_codon_center	genomic_x_start	genomic_x_middle	genomic_x_end	x	initiation_anchor_source	stop_anchor_source	initiation_anchor_fallback	stop_anchor_fallback	any_anchor_fallback	coding_transcript_candidate_count	protein_coding_transcript_count	eligible_safe_protein_coding_transcript_count	curated_transcript_exclusion_applied	unsafe_merged_transcript_exclusion_applied	excluded_transcript_count	excluded_transcript_ids	excluded_protein_ids	excluded_transcript_assessments	excluded_transcript_reason	selected_is_ensembl_canonical	transcript_selection_rule	codon_anchor_rule	midpoint_rule	mapping_method	mapping_note	xref_conflict_flag	xref_conflict_note	source_url	source_file	source_sha256
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	1	15	Hox1	Hox1	HOXA1	ENSG00000105991	11	ENSG00000105991.11	ensembl_havana	protein_coding	7	27092993	27096039	-	ENST00000643460	2	ENST00000643460.2	HOXA1-202	ensembl_havana	protein_coding	27092993	27096000	3008	ENSP00000494260	2	ENSP00000494260.2	2	1005	27095911	27095176	27094441	27095911	27095176	27094441	27095176	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					TRUE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	13	3	Hox13	Hox13	HOXB13	ENSG00000159184	9	ENSG00000159184.9	ensembl_havana	protein_coding	17	48724750	48729076	-	ENST00001143312	1	ENST00001143312.1	HOXB13-202	ensembl_havana	protein_coding	48724750	48729076	4327	ENSP00000804766	1	ENSP00000804766.1	2	852	48728592	48727691.5	48726791	48728592	48727691.5	48726791	48727691.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	9	7	Hox9	Hox9	HOXB9	ENSG00000170689	11	ENSG00000170689.11	ensembl_havana	protein_coding	17	48621156	48626576	-	ENST00001142771	1	ENST00001142771.1	HOXB9-202	ensembl_havana	protein_coding	48621156	48626576	5421	ENSP00000806053	1	ENSP00000806053.1	2	750	48626268	48624584.5	48622901	48626268	48624584.5	48622901	48624584.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	8	8	Hox8	Hox8	HOXB8	ENSG00000120068	8	ENSG00000120068.8	ensembl_havana	protein_coding	17	48611377	48618003	-	ENST00000884865	2	ENST00000884865.2	HOXB8-204	havana_tagene	protein_coding	48612346	48618003	5658	ENSP00000554924	1	ENSP00000554924.1	2	729	48614703	48613953	48613203	48614703	48613953	48613203	48613953	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	5	5	5	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	7	9	Hox7	Hox7	HOXB7	ENSG00000260027	6	ENSG00000260027.6	ensembl_havana	protein_coding	17	48607222	48633572	-	ENST00001137302	1	ENST00001137302.1	HOXB7-204	ensembl_havana	protein_coding	48607222	48611023	3802	ENSP00000802200	1	ENSP00000802200.1	2	651	48610917	48609380	48607843	48610917	48609380	48607843	48609380	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	6	10	Hox6	Hox6	HOXB6	ENSG00000108511	12	ENSG00000108511.12	ensembl_havana	protein_coding	17	48595525	48605011	-	ENST00000484302	4	ENST00000484302.4	HOXB6-203	havana	protein_coding	48595525	48605011	9487	ENSP00000420009	2	ENSP00000420009.2	2	672	48598149	48597281.5	48596414	48598149	48597281.5	48596414	48597281.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	9	9	9	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	5	11	Hox5	Hox5	HOXB5	ENSG00000120075	7	ENSG00000120075.7	ensembl_havana	protein_coding	17	48591257	48594179	-	ENST00001143579	1	ENST00001143579.1	HOXB5-202	ensembl_havana	protein_coding	48591257	48594179	2923	ENSP00000802199	1	ENSP00000802199.1	2	807	48593681	48592945.5	48592210	48593681	48592945.5	48592210	48592945.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	4	12	Hox4	Hox4	HOXB4	ENSG00000182742	7	ENSG00000182742.7	ensembl_havana	protein_coding	17	48575507	48578429	-	ENST00001143498	1	ENST00001143498.1	HOXB4-202	ensembl_havana	protein_coding	48575507	48578429	2923	ENSP00000807177	1	ENSP00000807177.1	2	753	48578318	48577520.5	48576723	48578318	48577520.5	48576723	48577520.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	3	13	Hox3	Hox3	HOXB3	ENSG00000120093	13	ENSG00000120093.13	ensembl_havana	protein_coding	17	48548870	48604912	-	ENST00000866120	2	ENST00000866120.2	HOXB3-214	havana_tagene	protein_coding	48548870	48590274	41405	ENSP00000536179	1	ENSP00000536179.1	2	1293	48552473	48551404	48550335	48552473	48551404	48550335	48551404	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	15	15	15	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	2	14	Hox2	Hox2	HOXB2	ENSG00000173917	12	ENSG00000173917.12	ensembl_havana	protein_coding	17	48540894	48545115	-	ENST00001136010	1	ENST00001136010.1	HOXB2-204	ensembl_havana	protein_coding	48542655	48545115	2461	ENSP00000807325	1	ENSP00000807325.1	2	1068	48544910	48543989.5	48543069	48544910	48543989.5	48543069	48543989.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	B	B	B	B	B	1	15	Hox1	Hox1	HOXB1	ENSG00000120094	9	ENSG00000120094.9	ensembl_havana	protein_coding	17	48528526	48531011	-	ENST00000239174	7	ENST00000239174.7	HOXB1-201	ensembl_havana	protein_coding	48528526	48531011	2486	ENSP00000355140	5	ENSP00000355140.5	2	903	48530903	48530225.5	48529548	48530903	48530225.5	48529548	48530225.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					TRUE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	C	C	C	C	C	13	3	Hox13	Hox13	HOXC13	ENSG00000123364	6	ENSG00000123364.6	ensembl_havana	protein_coding	12	53938718	53946544	+	ENST00001142801	1	ENST00001142801.1	HOXC13-202	ensembl_havana	protein_coding	53938718	53946544	7827	ENSP00000802304	1	ENSP00000802304.1	2	990	53938908	53942081.5	53945255	53938908	53942081.5	53945255	53942081.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
